Course Title,Number,Term,Year,GPA
Intro Computing: Engrg & Sci,101,fa,2010,3.1105591397849466
Intro Computing: Engrg & Sci,101,sp,2010,3.203274725274725
Intro Computing: Engrg & Sci,101,fa,2011,3.257813852813853
Intro Computing: Engrg & Sci,101,sp,2011,3.3913713080168773
Intro Computing: Engrg & Sci,101,fa,2012,3.0722271714922056
Intro Computing: Engrg & Sci,101,fa,2013,2.9011583011583006
Intro Computing: Engrg & Sci,101,sp,2013,3.1853295668549904
Intro Computing: Engrg & Sci,101,fa,2014,2.633753753753753
Intro Computing: Engrg & Sci,101,sp,2014,3.0385028790786945
Intro Computing: Engrg & Sci,101,fa,2015,3.1129538904899134
Intro Computing: Engrg & Sci,101,sp,2015,2.949955686853767
Intro Computing: Engrg & Sci,101,fa,2016,3.1924193548387096
Intro Computing: Engrg & Sci,101,sp,2016,3.4095203488372094
Intro Computing: Engrg & Sci,101,fa,2017,3.705477239353891
Intro Computing: Engrg & Sci,101,sp,2017,3.545570776255707
Intro Computing: Engrg & Sci,101,fa,2018,3.5764880952380946
Intro Computing: Engrg & Sci,101,sp,2018,3.663962264150944
Intro Computing: Non-Tech,105,fa,2010,3.032080783353733
Intro Computing: Non-Tech,105,sp,2010,3.0646130030959755
Intro Computing: Non-Tech,105,fa,2011,3.170072115384615
Intro Computing: Non-Tech,105,sp,2011,2.9474804687500007
Intro Computing: Non-Tech,105,fa,2012,3.317116060961313
Intro Computing: Non-Tech,105,fa,2013,3.196197916666666
Intro Computing: Non-Tech,105,sp,2013,3.3940809443507587
Intro Computing: Non-Tech,105,fa,2014,3.177715311004785
Intro Computing: Non-Tech,105,sp,2014,3.1484149184149177
Intro Computing: Non-Tech,105,fa,2015,3.5726553672316386
Intro Computing: Non-Tech,105,sp,2015,3.2485846867749424
Intro Computing: Non-Tech,105,fa,2016,3.5112878787878783
Intro Computing: Non-Tech,105,sp,2016,3.6328346456692913
Intro Computing: Non-Tech,105,fa,2017,3.542954545454545
Intro Computing: Non-Tech,105,sp,2017,3.4585110294117656
Intro Computing: Non-Tech,105,fa,2018,3.33152
Intro Computing: Non-Tech,105,sp,2018,3.238311444652908
Intro to Computer Science,125,fa,2010,3.3416778523489934
Intro to Computer Science,125,sp,2010,3.051271186440678
Intro to Computer Science,125,fa,2011,3.2526647564469915
Intro to Computer Science,125,sp,2011,3.113280423280423
Intro to Computer Science,125,fa,2012,3.0298933333333333
Intro to Computer Science,125,fa,2013,3.1127093596059106
Intro to Computer Science,125,sp,2013,3.1595575221238943
Intro to Computer Science,125,fa,2014,3.6082697201017817
Intro to Computer Science,125,sp,2014,3.266888297872341
Intro to Computer Science,125,fa,2015,3.42077057793345
Intro to Computer Science,125,sp,2015,3.3533391915641477
Intro to Computer Science,125,fa,2016,3.412640545144804
Intro to Computer Science,125,sp,2016,3.4239076376554176
Intro to Computer Science,125,fa,2017,3.1920467836257305
Intro to Computer Science,125,sp,2017,3.239718045112782
Intro to Computer Science,125,fa,2018,3.63474552957359
Intro to Computer Science,125,sp,2018,3.4367070217917672
Software Design Studio,126,fa,2016,3.754705882352941
Software Design Studio,126,fa,2017,3.3305405405405404
Software Design Studio,126,sp,2017,3.313218390804597
Software Design Studio,126,fa,2018,3.4701818181818185
Software Design Studio,126,sp,2018,3.523053435114504
Discrete Structures,173,fa,2010,2.4106666666666667
Discrete Structures,173,sp,2010,2.58939226519337
Discrete Structures,173,fa,2011,2.7344162436548225
Discrete Structures,173,sp,2011,2.4190592334494774
Discrete Structures,173,fa,2012,2.760308988764045
Discrete Structures,173,sp,2012,2.9676666666666667
Discrete Structures,173,fa,2013,2.7503746397694524
Discrete Structures,173,sp,2013,2.896605744125327
Discrete Structures,173,fa,2014,2.9274999999999998
Discrete Structures,173,sp,2014,2.865923261390887
Discrete Structures,173,fa,2015,3.111015625
Discrete Structures,173,sp,2015,3.139659090909091
Discrete Structures,173,fa,2016,3.0157979797979797
Discrete Structures,173,sp,2016,3.098403193612775
Discrete Structures,173,fa,2017,3.035402298850575
Discrete Structures,173,sp,2017,3.1609187279151945
Discrete Structures,173,fa,2018,3.1497567567567564
Discrete Structures,173,sp,2018,3.0814538310412574
Freshman Honors,196,fa,2010,3.2857142857142856
Freshman Honors,196,sp,2010,3.9166666666666665
Freshman Honors,196,fa,2011,3.774516129032258
Freshman Honors,196,sp,2011,3.667297297297297
Freshman Honors,196,fa,2012,3.699230769230769
Freshman Honors,196,fa,2013,3.971830985915493
Freshman Honors,196,sp,2013,3.463064516129032
Freshman Honors,196,fa,2014,3.8723270440251576
Freshman Honors,196,sp,2014,3.8087962962962965
Freshman Honors,196,fa,2015,3.783313609467456
Freshman Honors,196,sp,2015,3.787012195121951
Freshman Honors,196,fa,2016,3.87556338028169
Freshman Honors,196,sp,2016,3.6725641025641025
Freshman Honors,196,fa,2017,3.733692307692308
Freshman Honors,196,sp,2017,3.660727272727273
Freshman Honors,196,fa,2018,3.710258620689655
Freshman Honors,196,sp,2018,3.7298437499999997
Ethical & Professional Issues,210,fa,2010,3.8526315789473684
Ethical & Professional Issues,210,sp,2010,3.6065454545454543
Ethical & Professional Issues,210,fa,2011,3.7638541666666665
Ethical & Professional Issues,210,sp,2011,3.650847457627118
