YearTerm,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Instructor,Year,Total,Average A,GPA,Term
2010-fa,101,Intro Computing: Engrg & Sci,49,74,68,67,56,46,39,25,16,9,6,8,2,"Gambill, Thomas N",2010,465,26.451612903225808,3.1105591397849466,fa
2014-sp,101,Intro Computing: Engrg & Sci,113,74,59,56,42,37,33,29,21,18,8,8,23,"Gambill, Thomas N",2014,521,35.892514395393476,3.0385028790786945,sp
2010-sp,101,Intro Computing: Engrg & Sci,66,78,83,65,40,44,17,20,13,12,5,1,11,"Shifteh Far, Saeidreza",2010,455,31.648351648351646,3.203274725274725,sp
2011-fa,101,Intro Computing: Engrg & Sci,115,80,49,47,41,45,26,20,14,8,7,6,4,"Gambill, Thomas N",2011,462,42.2077922077922,3.257813852813853,fa
2011-sp,101,Intro Computing: Engrg & Sci,106,103,78,52,42,33,19,12,9,4,4,8,4,"Gambill, Thomas N",2011,474,44.09282700421941,3.3913713080168773,sp
2013-fa,101,Intro Computing: Engrg & Sci,82,64,56,51,53,53,34,33,28,23,13,11,17,"Gambill, Thomas N",2013,518,28.185328185328185,2.9011583011583006,fa
2013-sp,101,Intro Computing: Engrg & Sci,104,85,71,67,44,45,38,24,22,14,5,4,8,"Gambill, Thomas N",2013,531,35.59322033898305,3.1853295668549904,sp
2014-fa,101,Intro Computing: Engrg & Sci,79,51,64,66,78,66,57,48,39,35,20,13,50,"Gambill, Thomas N",2014,666,19.51951951951952,2.633753753753753,fa
2012-fa,101,Intro Computing: Engrg & Sci,86,61,56,40,52,41,36,30,14,10,4,4,15,"Gambill, Thomas N",2012,449,32.73942093541203,3.0722271714922056,fa
2015-fa,101,Intro Computing: Engrg & Sci,7,213,76,83,142,35,23,53,12,0,26,0,24,"Cunningham, Ryan M",2015,694,31.70028818443804,3.1129538904899134,fa
2015-sp,101,Intro Computing: Engrg & Sci,116,83,83,68,73,66,48,43,16,20,19,7,35,"Gambill, Thomas N",2015,677,29.394387001477106,2.949955686853767,sp
2016-fa,101,Intro Computing: Engrg & Sci,93,154,124,67,72,36,39,26,11,10,15,14,21,"Davis, Neal E",2016,682,36.21700879765396,3.1924193548387096,fa
2017-fa,101,Intro Computing: Engrg & Sci,439,90,43,30,19,16,5,9,6,1,9,0,14,"Davis, Neal E",2017,681,77.67988252569751,3.705477239353891,fa
2017-sp,101,Intro Computing: Engrg & Sci,239,159,72,61,44,24,9,12,9,7,2,4,15,"Davis, Neal E",2017,657,60.57838660578386,3.545570776255707,sp
2018-fa,101,Intro Computing: Engrg & Sci,263,162,72,59,40,16,12,11,5,8,7,6,11,"Davis, Neal E",2018,672,63.24404761904761,3.5764880952380946,fa
2018-sp,101,Intro Computing: Engrg & Sci,360,128,67,37,25,14,16,12,12,2,5,3,8,"Davis, Neal E",2018,689,70.82728592162555,3.663962264150944,sp
2016-sp,101,Intro Computing: Engrg & Sci,6,341,78,65,96,14,13,33,11,0,15,0,16,"Cunningham, Ryan M",2016,688,50.43604651162791,3.4095203488372094,sp
2013-sp,105,Intro Computing: Non-Tech,59,181,86,84,80,34,27,21,5,7,4,0,5,"Zhao, Kai",2013,593,40.472175379426645,3.3940809443507587,sp
2014-sp,105,Intro Computing: Non-Tech,35,82,62,70,59,35,32,23,8,7,5,5,6,"Fagen, Wade A",2014,429,27.27272727272727,3.1484149184149177,sp
2010-fa,105,Intro Computing: Non-Tech,45,169,102,71,119,81,70,110,19,5,11,7,8,"Gambill, Thomas N",2010,817,26.193390452876375,3.032080783353733,fa
2010-sp,105,Intro Computing: Non-Tech,47,130,94,86,83,36,53,31,42,18,11,7,8,"Charalambides, Minas",2010,646,27.39938080495356,3.0646130030959755,sp
2011-fa,105,Intro Computing: Non-Tech,129,147,106,96,124,70,40,48,18,15,22,7,10,"Gambill, Thomas N",2011,832,33.17307692307692,3.170072115384615,fa
2012-fa,105,Intro Computing: Non-Tech,52,193,170,144,122,62,45,34,15,9,4,1,2,"Zhao, Kai",2012,853,28.722157092614303,3.317116060961313,fa
2013-fa,105,Intro Computing: Non-Tech,67,145,136,103,138,62,33,0,49,11,9,4,11,"Zhao, Kai",2013,768,27.604166666666668,3.196197916666666,fa
2014-fa,105,Intro Computing: Non-Tech,77,169,135,106,133,67,36,45,22,13,17,2,14,"Fagen, Wade A",2014,836,29.42583732057416,3.177715311004785,fa
2017-sp,105,Intro Computing: Non-Tech,184,130,64,42,41,21,11,14,1,5,9,1,21,"Haberman, Michael",2017,544,57.720588235294116,3.4585110294117656,sp
2015-fa,105,Intro Computing: Non-Tech,268,237,111,87,81,36,22,12,9,8,4,1,9,"Fagen, Wade A",2015,885,57.06214689265536,3.5726553672316386,fa
2016-fa,105,Intro Computing: Non-Tech,125,191,109,87,76,25,15,8,6,4,2,1,11,"Hellwig, Martin",2016,660,47.878787878787875,3.5112878787878783,fa
2016-sp,105,Intro Computing: Non-Tech,161,135,86,49,34,15,11,3,4,1,1,0,8,"Hellwig, Martin",2016,508,58.26771653543307,3.6328346456692913,sp
2017-fa,105,Intro Computing: Non-Tech,40,157,204,0,100,0,0,15,0,0,4,0,8,"Harris, Albert F",2017,528,37.31060606060606,3.542954545454545,fa
2018-fa,105,Intro Computing: Non-Tech,124,95,66,56,46,31,25,24,12,0,14,0,7,"Harris, Albert F",2018,500,43.8,3.33152,fa
2018-sp,105,Intro Computing: Non-Tech,43,134,115,60,45,50,19,16,20,0,18,0,13,"Harris, Albert F",2018,533,33.20825515947467,3.238311444652908,sp
2015-sp,105,Intro Computing: Non-Tech,60,101,61,40,52,41,25,24,10,6,2,1,8,"Fagen, Wade A",2015,431,37.35498839907193,3.2485846867749424,sp
2011-sp,105,Intro Computing: Non-Tech,30,86,66,53,88,45,40,47,17,5,18,3,14,"Lauterburg, Steven T",2011,512,22.65625,2.9474804687500007,sp
2014-sp,125,Intro to Computer Science,60,109,38,53,28,19,15,15,16,0,10,0,13,"Angrave, Lawrence C",2014,376,44.9468085106383,3.266888297872341,sp
2010-fa,125,Intro to Computer Science,73,66,59,33,4,10,11,9,14,1,1,8,9,"Angrave, Lawrence C",2010,298,46.644295302013425,3.3416778523489934,fa
2010-sp,125,Intro to Computer Science,12,27,18,12,4,11,10,7,8,3,0,3,3,"Fogla, Navin",2010,118,33.05084745762712,3.051271186440678,sp
2011-fa,125,Intro to Computer Science,70,79,73,33,16,13,11,13,12,0,7,0,22,"Angrave, Lawrence C",2011,349,42.693409742120345,3.2526647564469915,fa
2011-sp,125,Intro to Computer Science,27,41,31,26,4,16,8,9,10,0,8,0,9,"Angrave, Lawrence C",2011,189,35.978835978835974,3.113280423280423,sp
2012-fa,125,Intro to Computer Science,36,63,81,41,37,20,19,25,22,0,11,0,20,"Angrave, Lawrence C",2012,375,26.400000000000002,3.0298933333333333,fa
2013-fa,125,Intro to Computer Science,28,131,35,35,68,20,14,27,11,0,13,11,13,"Zilles, Craig",2013,406,39.16256157635468,3.1127093596059106,fa
2014-fa,125,Intro to Computer Science,137,129,29,21,33,10,6,17,2,0,0,1,8,"Chapman, William L",2014,393,67.68447837150127,3.6082697201017817,fa
2016-fa,125,Intro to Computer Science,103,178,78,34,63,49,36,27,9,3,1,3,3,"Chapman, William L",2016,587,47.87052810902896,3.412640545144804,fa
2015-fa,125,Intro to Computer Science,152,170,42,44,49,15,34,41,4,6,1,1,12,"Chapman, William L",2015,571,56.3922942206655,3.42077057793345,fa
2013-sp,125,Intro to Computer Science,47,88,50,36,23,16,14,28,10,0,10,1,16,"Angrave, Lawrence C",2013,339,39.823008849557525,3.1595575221238943,sp
2016-sp,125,Intro to Computer Science,108,184,59,42,70,13,37,26,7,3,4,1,9,"Chapman, William L",2016,563,51.865008880994665,3.4239076376554176,sp
2017-fa,125,Intro to Computer Science,19,264,77,68,45,43,68,35,24,0,24,0,17,"Angrave, Lawrence C",2017,684,41.37426900584795,3.1920467836257305,fa
2017-sp,125,Intro to Computer Science,77,141,61,30,68,40,36,36,29,6,4,1,3,"Chapman, William L",2017,532,40.97744360902256,3.239718045112782,sp
2018-fa,125,Intro to Computer Science,143,389,53,34,32,19,8,7,8,0,14,0,20,"Challen, Geoffrey W",2018,727,73.17744154057772,3.63474552957359,fa
2018-sp,125,Intro to Computer Science,56,169,40,43,33,19,16,10,8,0,9,0,10,"Challen, Geoffrey W",2018,413,54.47941888619855,3.4367070217917672,sp
2015-sp,125,Intro to Computer Science,122,152,65,47,63,17,29,39,12,8,3,5,7,"Chapman, William L",2015,569,48.154657293497365,3.3533391915641477,sp
2016-fa,126,Software Design Studio,4,23,0,3,1,1,1,0,1,0,0,0,0,"Zilles, Craig",2016,34,79.41176470588235,3.754705882352941,fa
2017-fa,126,Software Design Studio,22,23,18,10,18,3,6,5,2,0,1,0,3,"Zilles, Craig",2017,111,40.54054054054054,3.3305405405405404,fa
2017-sp,126,Software Design Studio,36,47,58,47,20,20,10,6,6,3,0,1,7,"Angrave, Lawrence C",2017,261,31.800766283524908,3.313218390804597,sp
2018-fa,126,Software Design Studio,6,51,23,9,8,4,2,0,0,0,0,0,7,"Evans, Graham C",2018,110,51.81818181818182,3.4701818181818185,fa
2018-sp,126,Software Design Studio,54,92,42,34,13,8,4,1,0,0,0,0,14,"Evans, Graham C",2018,262,55.72519083969466,3.523053435114504,sp
2010-fa,173,Discrete Structures,5,9,23,16,13,18,17,8,19,11,7,12,7,"Fleck, Margaret M",2010,165,8.484848484848486,2.4106666666666667,fa
2010-sp,173,Discrete Structures,14,16,13,18,15,18,20,24,18,10,8,3,4,"Li, Chen",2010,181,16.574585635359114,2.58939226519337,sp
2011-fa,173,Discrete Structures,14,25,16,29,22,17,14,17,15,8,9,7,4,"Fleck, Margaret M",2011,197,19.796954314720814,2.7344162436548225,fa
2011-sp,173,Discrete Structures,12,30,21,37,28,18,30,26,20,15,16,4,30,"Fleck, Margaret M",2011,287,14.634146341463413,2.4190592334494774,sp
2012-fa,173,Discrete Structures,20,46,34,42,51,32,33,31,21,18,13,7,8,"Fleck, Margaret M",2012,356,18.53932584269663,2.760308988764045,fa
2012-sp,173,Discrete Structures,1,0,8,5,2,8,4,0,1,0,0,1,0,"Pittman, Lance C",2012,30,3.3333333333333335,2.9676666666666667,sp
