Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
101,Intro Computing: Engrg & Sci,2010,fa,3.1105591397849466,465,49,74,68,67,56,46,39,25,16,9,6,8,2,2010-fa
101,Intro Computing: Engrg & Sci,2010,sp,3.203274725274725,455,66,78,83,65,40,44,17,20,13,12,5,1,11,2010-sp
101,Intro Computing: Engrg & Sci,2011,fa,3.257813852813853,462,115,80,49,47,41,45,26,20,14,8,7,6,4,2011-fa
101,Intro Computing: Engrg & Sci,2011,sp,3.3913713080168773,474,106,103,78,52,42,33,19,12,9,4,4,8,4,2011-sp
101,Intro Computing: Engrg & Sci,2012,fa,3.0722271714922056,449,86,61,56,40,52,41,36,30,14,10,4,4,15,2012-fa
101,Intro Computing: Engrg & Sci,2013,fa,2.9011583011583006,518,82,64,56,51,53,53,34,33,28,23,13,11,17,2013-fa
101,Intro Computing: Engrg & Sci,2013,sp,3.1853295668549904,531,104,85,71,67,44,45,38,24,22,14,5,4,8,2013-sp
101,Intro Computing: Engrg & Sci,2014,fa,2.633753753753753,666,79,51,64,66,78,66,57,48,39,35,20,13,50,2014-fa
101,Intro Computing: Engrg & Sci,2014,sp,3.0385028790786945,521,113,74,59,56,42,37,33,29,21,18,8,8,23,2014-sp
101,Intro Computing: Engrg & Sci,2015,fa,3.112953890489913,694,7,213,76,83,142,35,23,53,12,0,26,0,24,2015-fa
101,Intro Computing: Engrg & Sci,2015,sp,2.949955686853767,677,116,83,83,68,73,66,48,43,16,20,19,7,35,2015-sp
101,Intro Computing: Engrg & Sci,2016,fa,3.1924193548387096,682,93,154,124,67,72,36,39,26,11,10,15,14,21,2016-fa
101,Intro Computing: Engrg & Sci,2016,sp,3.409520348837209,688,6,341,78,65,96,14,13,33,11,0,15,0,16,2016-sp
101,Intro Computing: Engrg & Sci,2017,fa,3.705477239353891,681,439,90,43,30,19,16,5,9,6,1,9,0,14,2017-fa
101,Intro Computing: Engrg & Sci,2017,sp,3.545570776255707,657,239,159,72,61,44,24,9,12,9,7,2,4,15,2017-sp
101,Intro Computing: Engrg & Sci,2018,fa,3.576488095238094,672,263,162,72,59,40,16,12,11,5,8,7,6,11,2018-fa
101,Intro Computing: Engrg & Sci,2018,sp,3.663962264150944,689,360,128,67,37,25,14,16,12,12,2,5,3,8,2018-sp
105,Intro Computing: Non-Tech,2010,fa,3.0320807833537327,817,45,169,102,71,119,81,70,110,19,5,11,7,8,2010-fa
105,Intro Computing: Non-Tech,2010,sp,3.0646130030959755,646,47,130,94,86,83,36,53,31,42,18,11,7,8,2010-sp
105,Intro Computing: Non-Tech,2011,fa,3.170072115384615,832,129,147,106,96,124,70,40,48,18,15,22,7,10,2011-fa
105,Intro Computing: Non-Tech,2011,sp,2.9474804687500007,512,30,86,66,53,88,45,40,47,17,5,18,3,14,2011-sp
105,Intro Computing: Non-Tech,2012,fa,3.3171160609613133,853,52,193,170,144,122,62,45,34,15,9,4,1,2,2012-fa
105,Intro Computing: Non-Tech,2013,fa,3.1961979166666663,768,67,145,136,103,138,62,33,0,49,11,9,4,11,2013-fa
105,Intro Computing: Non-Tech,2013,sp,3.3940809443507587,593,59,181,86,84,80,34,27,21,5,7,4,0,5,2013-sp
105,Intro Computing: Non-Tech,2014,fa,3.177715311004785,836,77,169,135,106,133,67,36,45,22,13,17,2,14,2014-fa
105,Intro Computing: Non-Tech,2014,sp,3.1484149184149177,429,35,82,62,70,59,35,32,23,8,7,5,5,6,2014-sp
105,Intro Computing: Non-Tech,2015,fa,3.5726553672316386,885,268,237,111,87,81,36,22,12,9,8,4,1,9,2015-fa
105,Intro Computing: Non-Tech,2015,sp,3.2485846867749424,431,60,101,61,40,52,41,25,24,10,6,2,1,8,2015-sp
105,Intro Computing: Non-Tech,2016,fa,3.5112878787878783,660,125,191,109,87,76,25,15,8,6,4,2,1,11,2016-fa
105,Intro Computing: Non-Tech,2016,sp,3.6328346456692913,508,161,135,86,49,34,15,11,3,4,1,1,0,8,2016-sp
105,Intro Computing: Non-Tech,2017,fa,3.542954545454545,528,40,157,204,0,100,0,0,15,0,0,4,0,8,2017-fa
105,Intro Computing: Non-Tech,2017,sp,3.4585110294117656,544,184,130,64,42,41,21,11,14,1,5,9,1,21,2017-sp
105,Intro Computing: Non-Tech,2018,fa,3.33152,500,124,95,66,56,46,31,25,24,12,0,14,0,7,2018-fa
105,Intro Computing: Non-Tech,2018,sp,3.2383114446529087,533,43,134,115,60,45,50,19,16,20,0,18,0,13,2018-sp
125,Intro to Computer Science,2010,fa,3.3416778523489934,298,73,66,59,33,4,10,11,9,14,1,1,8,9,2010-fa
125,Intro to Computer Science,2010,sp,3.0512711864406783,118,12,27,18,12,4,11,10,7,8,3,0,3,3,2010-sp
125,Intro to Computer Science,2011,fa,3.2526647564469915,349,70,79,73,33,16,13,11,13,12,0,7,0,22,2011-fa
125,Intro to Computer Science,2011,sp,3.113280423280423,189,27,41,31,26,4,16,8,9,10,0,8,0,9,2011-sp
125,Intro to Computer Science,2012,fa,3.0298933333333333,375,36,63,81,41,37,20,19,25,22,0,11,0,20,2012-fa
125,Intro to Computer Science,2013,fa,3.1127093596059106,406,28,131,35,35,68,20,14,27,11,0,13,11,13,2013-fa
125,Intro to Computer Science,2013,sp,3.1595575221238943,339,47,88,50,36,23,16,14,28,10,0,10,1,16,2013-sp
125,Intro to Computer Science,2014,fa,3.6082697201017817,393,137,129,29,21,33,10,6,17,2,0,0,1,8,2014-fa
125,Intro to Computer Science,2014,sp,3.2668882978723413,376,60,109,38,53,28,19,15,15,16,0,10,0,13,2014-sp
125,Intro to Computer Science,2015,fa,3.4207705779334505,571,152,170,42,44,49,15,34,41,4,6,1,1,12,2015-fa
125,Intro to Computer Science,2015,sp,3.353339191564148,569,122,152,65,47,63,17,29,39,12,8,3,5,7,2015-sp
125,Intro to Computer Science,2016,fa,3.4126405451448036,587,103,178,78,34,63,49,36,27,9,3,1,3,3,2016-fa
